datetime,data_fname,reg_type,wd,iter,loss,acc,prec,rec,f1
20170921_012352,./1-11-PM2.p,vanilla,None,2999,0.199496105,0.957746506,0.5,0.333333333,0.4
20170921_012420,./1-11-PM2.p,vanilla,None,2999,0.198735163,0.957746506,0.5,0.333333333,0.4
20170921_012450,./1-11-PM2.p,vanilla,None,2999,0.198676303,0.957746506,0.5,0.333333333,0.4
20170921_012518,./1-11-PM2.p,vanilla,None,2999,0.185326338,0.943661988,0.333333333,0.333333333,0.333333333
20170921_012547,./1-11-PM2.p,vanilla,None,2999,0.208604515,0.943661988,0.333333333,0.333333333,0.333333333
20170921_012616,./1-11-PM2.p,vanilla,None,2999,0.221265212,0.957746506,0.5,0.333333333,0.4
20170921_012644,./1-11-PM2.p,vanilla,None,2999,0.179072082,0.957746506,0.5,0.333333333,0.4
20170921_012712,./1-11-PM2.p,vanilla,None,2999,0.200220928,0.957746506,0.5,0.333333333,0.4
20170921_012741,./1-11-PM2.p,vanilla,None,2999,0.254545212,0.943661988,0.333333333,0.333333333,0.333333333
20170921_012809,./1-11-PM2.p,vanilla,None,2999,0.196545899,0.943661988,0.333333333,0.333333333,0.333333333
20170921_020331,./1-11-PM2.p,vanilla,None,2999,0.16790084540843964,0.9577465057373047,0.5,0.3333333333333333,0.4,
20170921_020357,./1-11-PM2.p,vanilla,None,2999,0.17983020842075348,0.9577465057373047,0.5,0.3333333333333333,0.4,
20170921_020423,./1-11-PM2.p,vanilla,None,2999,0.18158161640167236,0.9577465057373047,0.5,0.3333333333333333,0.4,
20170921_020449,./1-11-PM2.p,vanilla,None,2999,0.2012317180633545,0.9577465057373047,0.5,0.3333333333333333,0.4,
20170921_020517,./1-11-PM2.p,vanilla,None,2999,0.19849051535129547,0.9577465057373047,0.5,0.3333333333333333,0.4,
20170921_020543,./1-11-PM2.p,vanilla,None,2999,0.21861684322357178,0.9577465057373047,0.5,0.3333333333333333,0.4,
20170921_020610,./1-11-PM2.p,vanilla,None,2999,0.22341275215148926,0.9436619877815247,0.3333333333333333,0.3333333333333333,0.3333333333333333,
20170921_020637,./1-11-PM2.p,vanilla,None,2999,0.2148272842168808,0.9436619877815247,0.3333333333333333,0.3333333333333333,0.3333333333333333,
20170921_024417,./1-11-PM2.p,group1,0,2999,0.21308733522891998,0.9577465057373047,0.5,0.3333333333333333,0.4,
20170921_025503,./1-11-PM2.p,l1,0,2999,0.20709025859832764,0.9577465057373047,0.5,0.3333333333333333,0.4,
20170921_025520,./1-11-PM2.p,vanilla,None,2999,0.22029811143875122,0.9577465057373047,0.5,0.3333333333333333,0.4,
20170921_025506,./1-11-PM2.p,group2,0,2999,0.20893968641757965,0.9577465057373047,0.5,0.3333333333333333,0.4,
20170921_025628,./1-11-PM2.p,l1,0.1,2999,0.30808427929878235,0.9436619877815247,0.42857142857142855,1.0,0.6,
20170921_025649,./1-11-PM2.p,vanilla,None,2999,0.22900356352329254,0.9436619877815247,0.3333333333333333,0.3333333333333333,0.3333333333333333,
20170921_025623,./1-11-PM2.p,group2,0.1,2999,0.1448361873626709,0.9295774698257446,0.25,0.3333333333333333,0.2857142857142857,
20170921_025737,./1-11-PM2.p,vanilla,None,2999,0.22196100652217865,0.9577465057373047,0.5,0.3333333333333333,0.4,
20170921_025815,./1-11-PM2.p,group2,0.1,2999,0.14547812938690186,0.9436619877815247,0.3333333333333333,0.3333333333333333,0.3333333333333333,
20170921_025922,./1-11-PM2.p,group2,1.0,2999,0.13625603914260864,0.9436619877815247,0.3333333333333333,0.3333333333333333,0.3333333333333333,
20170921_030338,./1-11-PM2.p,group2,0.05,2999,0.16272765398025513,0.9436619877815247,0.3333333333333333,0.3333333333333333,0.3333333333333333,
20170921_030541,./1-11-PM2.p,group2,0.01,2999,0.17471915483474731,0.9577465057373047,0.5,0.3333333333333333,0.4,
20170921_031211,./1-11-PM2.p,group2,0.01,2999,0.368749737739563,0.9436619281768799,0.4,0.6666666666666666,0.5,
20170921_031249,./1-11-PM2.p,group1,0.05,2999,0.44398972392082214,0.9436619281768799,0.4,0.6666666666666666,0.5,
20170921_031415,./1-11-PM2.p,group2,0.1,2999,0.3626345992088318,0.9436619877815247,0.4,0.6666666666666666,0.5,
20170921_031412,./1-11-PM2.p,group1,0.1,2999,0.4722746014595032,0.9295774698257446,0.3333333333333333,0.6666666666666666,0.4444444444444444,
